agef,pid,current_workingf,maritalf,logfamincf,logincf,n_logincf,ownhomef,num_marriagef,marriedf,birthyearf,whitef,eduf,fambus_everf,n_childf,n_obsf
45,4003,1,1,10.742043,10.06829,,,Actual number of marriages,0,1922,1,8,1,7,10
46,4003,1,1,10.208934,9.4630737,,,Actual number of marriages,0,1922,1,8,1,7,10
47,4003,1,1,10.652559,9.1572561,,0,Actual number of marriages,0,1922,1,8,1,7,10
48,4003,1,1,11.417176,10.51576,,,Actual number of marriages,0,1922,1,8,1,7,10
49,4003,1,1,12.008019,11.098322,,,Actual number of marriages,0,1922,1,8,1,7,10
50,4003,1,1,11.456877,10.863489,,,Actual number of marriages,0,1922,1,8,1,7,10
51,4003,1,1,11.81488,11.222844,,,Actual number of marriages,0,1922,1,8,1,7,10
52,4003,1,1,12.255022,11.540122,,,Actual number of marriages,0,1922,1,8,1,7,10
53,4003,1,1,12.2093,11.447427,,,Actual number of marriages,0,1922,1,8,1,7,10
54,4003,1,1,11.251207,10.475822,,,Actual number of marriages,0,1922,1,8,1,7,10
25,4033,1,1,11.010365,10.101475,,,Actual number of marriages,1,1951,1,10,1,10,26
26,4033,1,1,10.936959,10.092288,,,Actual number of marriages,1,1951,1,10,1,10,26
27,4033,1,1,11.10658,10.295967,,,Actual number of marriages,1,1951,1,10,1,10,26
28,4033,1,1,11.146842,10.502599,,,Actual number of marriages,1,1951,1,10,1,10,26
29,4033,1,1,11.057818,10.278494,,,Actual number of marriages,1,1951,1,10,1,10,26
30,4033,1,1,10.951227,10.097737,,,Actual number of marriages,1,1951,1,10,1,10,26
31,4033,1,1,10.981709,10.122623,,,Actual number of marriages,1,1951,1,10,1,10,26
32,4033,1,1,11.036205,10.185277,,,Actual number of marriages,1,1951,1,10,1,10,26
33,4033,0,1,11.166492,10.453053,,,Actual number of marriages,1,1951,1,10,1,10,26
34,4033,1,1,10.985845,10.194663,,,Actual number of marriages,1,1951,1,10,1,10,26
35,4033,1,1,11.126676,10.399707,,,Actual number of marriages,1,1951,1,10,1,10,26
36,4033,1,1,11.120179,10.544815,,,Actual number of marriages,1,1951,1,10,1,10,26
37,4033,1,1,11.077927,10.449004,,,Actual number of marriages,1,1951,1,10,1,10,26
38,4033,1,1,10.85064,10.05535,,,Actual number of marriages,1,1951,1,10,1,10,26
39,4033,1,1,10.990604,10.407892,,,Actual number of marriages,1,1951,1,10,1,10,26
40,4033,1,1,11.280065,10.564112,,,Actual number of marriages,1,1951,1,10,1,10,26
41,4033,0,1,10.994096,7.4442487,,,Actual number of marriages,1,1951,1,10,1,10,26
42,4033,1,1,11.063541,9.6116867,,,Actual number of marriages,1,1951,1,10,1,10,26
43,4033,1,1,11.383231,10.481224,,,Actual number of marriages,1,1951,1,10,1,10,26
44,4033,1,1,11.290637,10.403306,,,Actual number of marriages,1,1951,1,10,1,10,26
45,4033,1,1,11.309803,10.377545,,,Actual number of marriages,1,1951,1,10,1,10,26
47,4033,1,1,11.42112,10.332767,,,Actual number of marriages,1,1951,1,10,1,10,26
49,4033,1,1,11.166529,10.372553,,,Actual number of marriages,1,1951,1,10,1,10,26
51,4033,1,1,10.674666,10.30378,,,Actual number of marriages,1,1951,1,10,1,10,26
53,4033,1,1,10.301216,9.9193611,,,Actual number of marriages,1,1951,1,10,1,10,26
55,4033,0,1,11.576617,10.217203,,,Actual number of marriages,1,1951,1,10,1,10,26
25,4180,1,0,10.638496,10.046982,,,Actual number of marriages,0,1964,1,11,1,10,9
26,4180,1,0,10.6551,10.29011,,,Actual number of marriages,0,1964,1,11,1,10,9
27,4180,0,0,10.517591,10.327238,,,Actual number of marriages,0,1964,1,11,1,10,9
28,4180,1,0,10.146817,9.4591513,,,Actual number of marriages,0,1964,1,11,1,10,9
34,4180,1,1,11.021118,10.758754,,,Actual number of marriages,0,1964,1,11,1,10,9
36,4180,1,1,10.756335,10.643576,,,Actual number of marriages,0,1964,1,11,1,10,9
38,4180,0,1,10.215016,9.2462883,,,Actual number of marriages,0,1964,1,11,1,10,9
44,4180,1,1,11.102753,10.477851,,,Actual number of marriages,0,1964,1,11,1,10,9
46,4180,1,1,10.752664,10.740735,,,Actual number of marriages,0,1964,1,11,1,10,9
25,4034,1,1,10.771932,10.750878,,,Actual number of marriages,1,1954,1,12,1,2,13
26,4034,1,1,10.785311,10.785311,,,Actual number of marriages,1,1954,1,12,1,2,13
27,4034,1,1,10.681894,10.681894,,,Actual number of marriages,1,1954,1,12,1,2,13
30,4034,1,1,10.699913,10.578217,,,Actual number of marriages,1,1954,1,12,1,2,13
31,4034,1,1,10.879442,10.800799,,,Actual number of marriages,1,1954,1,12,1,2,13
32,4034,1,1,10.951674,10.871792,,,Actual number of marriages,1,1954,1,12,1,2,13
33,4034,1,1,10.832497,10.745485,,,Actual number of marriages,1,1954,1,12,1,2,13
34,4034,1,1,10.965695,10.858383,,,Actual number of marriages,1,1954,1,12,1,2,13
35,4034,1,1,10.864427,10.785311,,,Actual number of marriages,1,1954,1,12,1,2,13
36,4034,1,1,10.881363,10.881363,,,Actual number of marriages,1,1954,1,12,1,2,13
37,4034,1,1,10.981565,10.92204,,,Actual number of marriages,1,1954,1,12,1,2,13
38,4034,1,1,11.404109,11.378033,,,Actual number of marriages,1,1954,1,12,1,2,13
39,4034,0,1,11.667074,11.17575,,,Actual number of marriages,1,1954,1,12,1,2,13
25,4036,1,1,11.310699,10.898589,,,Actual number of marriages,0,1948,1,16,1,2,25
26,4036,1,1,11.133471,10.720863,,,Actual number of marriages,0,1948,1,16,1,2,25
27,4036,1,1,11.406108,10.936601,,,Actual number of marriages,0,1948,1,16,1,2,25
28,4036,1,1,11.33831,10.916379,,,Actual number of marriages,0,1948,1,16,1,2,25
29,4036,1,1,11.09641,10.856611,,,Actual number of marriages,0,1948,1,16,1,2,25
30,4036,1,1,11.070007,10.86391,,,Actual number of marriages,0,1948,1,16,1,2,25
31,4036,1,1,11.041217,10.978268,,,Actual number of marriages,0,1948,1,16,1,2,25
32,4036,1,1,11.213802,11.004253,,,Actual number of marriages,0,1948,1,16,1,2,25
33,4036,1,1,11.390079,10.962735,,,Actual number of marriages,0,1948,1,16,1,2,25
34,4036,1,1,11.41158,10.930437,,,Actual number of marriages,0,1948,1,16,1,2,25
35,4036,1,1,11.235304,10.058167,,,Actual number of marriages,0,1948,1,16,1,2,25
36,4036,1,1,11.239994,10.27265,,,Actual number of marriages,0,1948,1,16,1,2,25
37,4036,1,1,12.090658,11.533255,,,Actual number of marriages,0,1948,1,16,1,2,25
38,4036,1,1,11.927212,11.256757,,,Actual number of marriages,0,1948,1,16,1,2,25
39,4036,1,1,11.856894,10.992239,,,Actual number of marriages,0,1948,1,16,1,2,25
40,4036,1,1,11.720086,11.119845,,,Actual number of marriages,0,1948,1,16,1,2,25
41,4036,1,1,11.622229,11.181848,,,Actual number of marriages,0,1948,1,16,1,2,25
42,4036,1,1,11.551762,11.202693,,,Actual number of marriages,0,1948,1,16,1,2,25
43,4036,1,1,11.714396,11.129115,,,Actual number of marriages,0,1948,1,16,1,2,25
44,4036,1,1,12.589415,11.791296,,,Actual number of marriages,0,1948,1,16,1,2,25
45,4036,1,1,12.231049,11.115109,,,Actual number of marriages,0,1948,1,16,1,2,25
46,4036,1,1,12.109591,11.027794,,,Actual number of marriages,0,1948,1,16,1,2,25
47,4036,1,1,12.183891,10.942294,,,Actual number of marriages,0,1948,1,16,1,2,25
48,4036,1,1,12.011509,11.070693,,,Actual number of marriages,0,1948,1,16,1,2,25
50,4036,1,1,11.908138,11.205041,,,Actual number of marriages,0,1948,1,16,1,2,25
25,5003,1,1,11.036501,10.711079,,,Actual number of marriages,1,1943,1,11,0,4,26
26,5003,1,1,10.657495,10.593981,,0,Actual number of marriages,1,1943,1,11,0,4,26
27,5003,1,1,10.602492,10.602492,,,Actual number of marriages,1,1943,1,11,0,4,26
28,5003,1,1,10.428246,10.428246,,,Actual number of marriages,1,1943,1,11,0,4,26
29,5003,1,1,10.636216,10.446974,,0,Actual number of marriages,1,1943,1,11,0,4,26
30,5003,1,1,11.167853,11.167853,,0,Actual number of marriages,1,1943,1,11,0,4,26
31,5003,1,1,11.000123,10.967387,,0,Actual number of marriages,1,1943,1,11,0,4,26
32,5003,1,1,10.419672,8.7235374,,0,Actual number of marriages,1,1943,1,11,0,4,26
33,5003,1,1,10.937532,10.868507,,,Actual number of marriages,1,1943,1,11,0,4,26
34,5003,1,1,10.971167,10.848948,,,Actual number of marriages,1,1943,1,11,0,4,26
35,5003,1,1,10.83664,10.542812,,,Actual number of marriages,1,1943,1,11,0,4,26
36,5003,1,1,10.878666,10.397238,,,Actual number of marriages,1,1943,1,11,0,4,26
37,5003,1,1,10.806884,10.391822,,,Actual number of marriages,1,1943,1,11,0,4,26
38,5003,1,1,11.163946,10.796305,,,Actual number of marriages,1,1943,1,11,0,4,26
39,5003,0,1,10.566154,10.102421,,,Actual number of marriages,1,1943,1,11,0,4,26
40,5003,0,1,9.6054592,8.7806339,,,Actual number of marriages,1,1943,1,11,0,4,26
41,5003,1,1,9.8476725,8.037672,,,Actual number of marriages,1,1943,1,11,0,4,26
