pid,age,current_working,marital,logfaminc,loginc,n_loginc,ownhome,num_marriage,married,birthyear,white,edu,fambus_ever,male,fid,mid,n_child,n_obs
4003,25,1,1,11.010365,10.101475,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,26,1,1,10.936959,10.092288,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,27,1,1,11.10658,10.295967,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,28,1,1,11.146842,10.502599,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,29,1,1,11.057818,10.278494,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,30,1,1,10.951227,10.097737,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,31,1,1,10.981709,10.122623,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,32,1,1,11.036205,10.185277,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,33,0,1,11.166492,10.453053,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,34,1,1,10.985845,10.194663,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,35,1,1,11.126676,10.399707,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,36,1,1,11.120179,10.544815,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,37,1,1,11.077927,10.449004,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,38,1,1,10.85064,10.05535,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,39,1,1,10.990604,10.407892,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,40,1,1,11.280065,10.564112,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,41,0,1,10.994096,7.4442487,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,42,1,1,11.063541,9.6116867,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,43,1,1,11.383231,10.481224,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,44,1,1,11.290637,10.403306,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,45,1,1,11.309803,10.377545,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,47,1,1,11.42112,10.332767,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,49,1,1,11.166529,10.372553,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,51,1,1,10.674666,10.30378,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,53,1,1,10.301216,9.9193611,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4003,55,0,1,11.576617,10.217203,,,Actual number of marriages,1,1951,1,10,1,1,4001,4002,10,26
4033,26,1,1,10.532896,10.532896,,,Actual number of marriages,0,1974,1,12,1,1,4003,4173,2,5
4033,28,1,1,10.525139,10.525139,,,Actual number of marriages,0,1974,1,12,1,1,4003,4173,2,5
4033,30,0,1,10.496676,10.496676,,0,Actual number of marriages,0,1974,1,12,1,1,4003,4173,2,5
4033,32,1,1,10.637056,10.637056,,0,Actual number of marriages,0,1974,1,12,1,1,4003,4173,2,5
4033,34,0,1,10.477851,10.477851,,0,Actual number of marriages,0,1974,1,12,1,1,4003,4173,2,5
4034,25,1,0,10.372553,10.372553,,0,None,0,1975,1,12,1,1,4170,4006,2,6
4034,27,1,0,10.41181,10.41181,,0,None,0,1975,1,12,1,1,4170,4006,2,6
4034,29,1,0,10.117187,10.101683,,0,None,0,1975,1,12,1,1,4170,4006,2,6
4034,33,1,0,9.4100103,9.4100103,,0,None,0,1975,1,12,1,1,4170,4006,2,6
